message_id,match_id,champion_name,time,sent_to,message,association_to_offender,kills,deaths,assists,outcome,label,kda
1,5011.txt,Master Yi,00:00:22,Team2,bot and akali,enemy,4,6,2,Loss,0,1.0
2,5011.txt,Master Yi,00:00:29,Team2,akali mid ?,enemy,4,6,2,Loss,0,1.0
3,5011.txt,Kayle,00:00:30,Team1,"I sup, cause Ashe instalocked.",ally,1,1,3,Win,0,4.0
4,5011.txt,Akali,00:00:35,Team2,yes,enemy,4,9,2,Loss,0,0.67
5,5011.txt,Riven,00:00:42,Team1,report then,offender,13,1,5,Win,0,18.0
6,5011.txt,Ashe,00:00:48,Team1,minou le minou a ta mere,ally,5,4,8,Win,0,3.25
7,5011.txt,Kayle,00:00:48,Team1,I will,ally,1,1,3,Win,0,4.0
8,5011.txt,Ashe,00:00:49,Team1,:),ally,5,4,8,Win,0,3.25
9,5011.txt,Ashe,00:00:52,Team1,qi jamais,ally,5,4,8,Win,0,3.25
10,5011.txt,Riven,00:00:55,Team1,fdp,offender,13,1,5,Win,0,18.0
11,5011.txt,Ashe,00:00:55,Team1,si jamais,ally,5,4,8,Win,0,3.25
12,5011.txt,Teemo,00:00:57,Team2,alex?,enemy,0,6,2,Loss,0,0.33
13,5011.txt,Ashe,00:00:59,Team1,moi la tien ahahah,ally,5,4,8,Win,0,3.25
14,5011.txt,Kayle,00:00:59,Team1,English please.,ally,1,1,3,Win,0,4.0
15,5011.txt,Lux,00:01:06,Team2,c'est quoi ce bordel ??,enemy,3,7,0,Loss,0,0.43
16,5011.txt,Riven,00:01:11,Team1,musulman de mes deux,offender,13,1,5,Win,0,18.0
17,5011.txt,Teemo,00:01:12,Team2,quoi?,enemy,0,6,2,Loss,0,0.33
18,5011.txt,Riven,00:01:18,Team1,kayle,offender,13,1,5,Win,0,18.0
19,5011.txt,Riven,00:01:19,Team1,come plz,offender,13,1,5,Win,0,18.0
20,5011.txt,Lux,00:01:20,Team2,mais je peut pas top,enemy,3,7,0,Loss,0,0.43
21,5011.txt,Akali,00:01:20,Team2,bordel mas ty  hlave,enemy,4,9,2,Loss,0,0.67
22,5011.txt,Lux,00:01:28,Team2,tg akali,enemy,3,7,0,Loss,0,0.43
23,5011.txt,Riven,00:01:29,Team1,ashe reste ou tes arabe,offender,13,1,5,Win,0,18.0
24,5011.txt,Akali,00:01:37,Team2,what?,enemy,4,9,2,Loss,0,0.67
25,5011.txt,Teemo,00:01:38,Team2,tu veux bot?,enemy,0,6,2,Loss,0,0.33
26,5011.txt,Ashe,00:01:39,Team1,ahhahaha ta la veine !!! moi j'ai la chance ..!! pas toi ..,ally,5,4,8,Win,0,3.25
27,5011.txt,Ashe,00:01:42,Team1,:),ally,5,4,8,Win,0,3.25
28,5011.txt,Kayle,00:01:44,Team1,English please.,ally,1,1,3,Win,0,4.0
29,5011.txt,Akali,00:01:45,Team2,speak english,enemy,4,9,2,Loss,0,0.67
30,5011.txt,Riven,00:01:49,Team1,ahahha quelle chance,offender,13,1,5,Win,0,18.0
31,5011.txt,Kayle,00:01:49,All,Gl hf,ally,1,1,3,Win,0,4.0
32,5011.txt,Teemo,00:01:53,Team2,tg akali!!,enemy,0,6,2,Loss,0,0.33
33,5011.txt,Master Yi,00:02:00,Team2,zdar :D,enemy,4,6,2,Loss,0,1.0
34,5011.txt,Master Yi,00:02:03,Team2,čech jo ?,enemy,4,6,2,Loss,0,1.0
35,5011.txt,Lux,00:02:03,Team2,nan mais normalement sa aurai dut etre sivir et moi bot,enemy,3,7,0,Loss,0,0.43
36,5011.txt,Ashe,00:02:10,Team1,des gens comme toi qui insulte devant un pc parce que en vrai,ally,5,4,8,Win,0,3.25
37,5011.txt,Ashe,00:02:20,Team1,les gens comme nous te frappons et te faison peur,ally,5,4,8,Win,0,3.25
38,5011.txt,Ashe,00:02:21,Team1,pedak,ally,5,4,8,Win,0,3.25
39,5011.txt,Riven,00:02:22,Team1,en vrai mais ooooh,offender,13,1,5,Win,0,18.0
40,5011.txt,Ashe,00:02:24,Team1,pedak,ally,5,4,8,Win,0,3.25
41,5011.txt,Riven,00:02:28,Team1,en vrai ta plus dtete fdp,offender,13,1,5,Win,0,18.0
42,5011.txt,Master Yi,00:02:31,Team2,?,enemy,4,6,2,Loss,0,1.0
43,5011.txt,Lux,00:02:32,Team2,on a meme pas de jungler,enemy,3,7,0,Loss,0,0.43
44,5011.txt,Teemo,00:02:34,Team2,c yi qui voulais,enemy,0,6,2,Loss,0,0.33
45,5011.txt,Ashe,00:02:37,Team1,ta mere je la baize fdp,ally,5,4,8,Win,0,3.25
46,5011.txt,Riven,00:02:40,Team1,ahahha,offender,13,1,5,Win,0,18.0
47,5011.txt,Lux,00:02:40,Team2,mdrr,enemy,3,7,0,Loss,0,0.43
48,5011.txt,Ashe,00:02:41,Team1,:)à,ally,5,4,8,Win,0,3.25
49,5011.txt,Master Yi,00:02:43,Team2,jak dlouho hraješ lolko ?,enemy,4,6,2,Loss,0,1.0
50,5011.txt,Ashe,00:02:44,Team1,avec le sourire,ally,5,4,8,Win,0,3.25
51,5011.txt,Ashe,00:02:46,Team1,hahaahahha,ally,5,4,8,Win,0,3.25
52,5011.txt,Ashe,00:02:48,Team1,:),ally,5,4,8,Win,0,3.25
53,5011.txt,Lux,00:02:48,Team2,tg yi,enemy,3,7,0,Loss,0,0.43
54,5011.txt,Akali,00:02:57,Team2,jj :D,enemy,4,9,2,Loss,0,0.67
